well,low,max,high,area,mw_n,mw_w,mw_d,mw_max,mw_std,mw_skew,mw_kurtosismw_asym,
E5,10,10.84,11.8,142.3,12960,14490,1.118,13870,5223,1.438,4.696,1.022
B7,10,10.84,11.8,68.87,12910,14310,1.108,13770,4929,1.515,5.218,1.045
D12,10,10.84,11.8,133.4,13020,14360,1.103,13800,4916,1.313,4.565,1.091
C17,10,10.84,11.8,87.16,13040,14480,1.111,13900,5130,1.29,4.332,1.037
B23,10,10.86,11.8,104.1,12560,14010,1.115,13460,4852,2.11,7.137,1.016
L3,10,10.84,11.8,102.4,12770,14250,1.115,13770,4947,1.689,5.661,0.9603
I12,10,10.84,11.8,92.78,12950,14390,1.112,13900,5005,1.402,4.82,1.008
H22,10,10.84,11.8,129.2,12860,14310,1.112,13740,4978,1.584,5.336,1.025
H17,10,10.84,11.8,119.2,12910,14380,1.113,13840,5035,1.479,4.974,1.016
G7,10,10.83,11.8,96.69,12990,14490,1.116,13960,5146,1.33,4.44,0.9733
F12,10,10.84,11.8,115.9,12960,14350,1.107,13800,4939,1.434,5.022,1.065
L18,10,10.84,11.8,136.9,12970,14470,1.116,13900,5145,1.376,4.559,0.9936
L22,10,10.85,11.8,127.8,12740,14200,1.115,13710,4920,1.767,5.914,0.986
O2,10,10.86,11.8,150.3,12550,13990,1.114,13520,4791,2.054,6.939,0.9871
O13,10,10.84,11.8,130.6,12810,14310,1.118,13770,5049,1.645,5.373,0.9832
O23,10,10.87,11.8,170.1,12340,13730,1.112,13240,4669,2.349,7.966,1.008
B2,10,10.85,11.8,81.06,12610,14110,1.118,13580,4929,1.982,6.617,0.9854
